tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H7N3.NA.EPI_ISL_331290.anseriformes.russia.NA.2018-01-23,H7N3,EPI_ISL_331290,A/mallard/Dagestan/1051/2018,2018-01-23,2018.06,2018-01,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,eastern europe,russia,rus,66.0376616061812,95.7970903417469,dagestan,ru.da,43.0199724243525,46.8879064209307,A,2018-04,2661,NA,NA,NA,NA,NA,2018-01-23,n3,n3,profileNA
H5N3.2344b.EPI_ISL_5863749.anseriformes.united_states.289.2020-10-20,H5N3,EPI_ISL_5863749,a/green-winged-teal/georgia/dt-22894/2020,2020-10-20,2020.8,2020-10,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,georgia,us.ga,32.6403385373358,-83.4405725551842,a,2020-43,3413,2344b,Asia / Georgia / NA / NA / NA,3_2_3_1_1_68_1_2,NA,289,2020-10-20,n3,n3,profile068
H7N3.NA.EPI_ISL_706194.anseriformes.south_korea.NA.2019-03-15,H7N3,EPI_ISL_706194,A/Spot-billed_duck/South_Korea/WKU2019-1/2019,2019-03-15,2019.2,2019-03,anseriformes_wild,anseriformes,Anatidae,anas zonorhyncha,eastern spot-billed duck,bird,wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,NA,NA,NA,NA,A,2019-11,3775,NA,NA,NA,NA,NA,2019-03-15,n3,n3,profileNA
H7N3.NA.EPI_ISL_387968.anseriformes.egypt.NA.2016-01-28,H7N3,EPI_ISL_387968,A/teal/Egypt/MB-D-487OP/2016,2016-01-28,2016.07,2016-01,anseriformes_wild,anseriformes,Anatidae,anatidae sp. (teal sp.),teal sp.,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-04,3720,NA,NA,NA,NA,NA,2016-01-28,n3,n3,profileNA
H7N3.NA.EPI_ISL_387973.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387973,A/northern_shoveler/Egypt/MB-D-695C/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,spatula clypeata,northern shoveler,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_387970.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387970,A/teal/Egypt/MB-D-698C/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,anatidae sp. (teal sp.),teal sp.,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_387965.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387965,A/northern_shoveler/Egypt/MB-D-686OP/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,spatula clypeata,northern shoveler,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_387964.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387964,A/teal/Egypt/MB-D-698OP/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,anatidae sp. (teal sp.),teal sp.,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_387972.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387972,A/northern_shoveler/Egypt/MB-D-690C/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,spatula clypeata,northern shoveler,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_387966.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387966,A/northern_shoveler/Egypt/MB-D-690OP/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,spatula clypeata,northern shoveler,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_331289.anseriformes.russia.NA.2018-01-23,H7N3,EPI_ISL_331289,A/mallard/Dagestan/1050/2018,2018-01-23,2018.06,2018-01,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,eastern europe,russia,rus,66.0376616061812,95.7970903417469,dagestan,ru.da,43.0199724243525,46.8879064209307,A,2018-04,2661,NA,NA,NA,NA,NA,2018-01-23,n3,n3,profileNA
H10N3.NA.EPI_ISL_1096153.environment.china.NA.2015-11-19,H10N3,EPI_ISL_1096153,A/Environment/Jiangxi/07531/2015,2015-11-19,2015.88,2015-11,unknown,environment,environment,environment,environment,other,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,jiangxi,cn.jx,27.6016362656629,115.709570895796,A,2015-47,505,NA,NA,NA,NA,NA,2015-11-19,n3,n3,profileNA
H10N3.NA.EPI_ISL_1096151.environment.china.NA.2015-11-19,H10N3,EPI_ISL_1096151,A/Environment/Jiangxi/07518/2015,2015-11-19,2015.88,2015-11,unknown,environment,environment,environment,environment,other,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,jiangxi,cn.jx,27.6016362656629,115.709570895796,A,2015-47,505,NA,NA,NA,NA,NA,2015-11-19,n3,n3,profileNA
H10N3.NA.EPI_ISL_1096150.environment.china.NA.2015-11-19,H10N3,EPI_ISL_1096150,A/Environment/Jiangxi/07527/2015,2015-11-19,2015.88,2015-11,unknown,environment,environment,environment,environment,other,wild,eastern asia,china,chn,36.6848135465548,103.513718494908,jiangxi,cn.jx,27.6016362656629,115.709570895796,A,2015-47,505,NA,NA,NA,NA,NA,2015-11-19,n3,n3,profileNA
H2N3.NA.EPI_ISL_209128.anseriformes.mongolia.NA.2015-08-31,H2N3,EPI_ISL_209128,A/duck/Mongolia/482/2015,2015-08-31,2015.66,2015-08,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,A,2015-36,3801,NA,NA,NA,NA,NA,2015-08-31,n3,n3,profileNA
H10N3.NA.EPI_ISL_206694.anseriformes.mongolia.NA.2015-08-31,H10N3,EPI_ISL_206694,A/duck/Mongolia/518/2015,2015-08-31,2015.66,2015-08,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,A,2015-36,3801,NA,NA,NA,NA,NA,2015-08-31,n3,n3,profileNA
H2N3.NA.EPI_ISL_209132.anseriformes.mongolia.NA.2015-08-31,H2N3,EPI_ISL_209132,A/duck/Mongolia/655/2015,2015-08-31,2015.66,2015-08,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,A,2015-36,3801,NA,NA,NA,NA,NA,2015-08-31,n3,n3,profileNA
NA.NA.EPI_ISL_387335.anseriformes.vietnam.NA.2016-02-10,NA,EPI_ISL_387335,A/duck/Viet_Nam/HN-2633/2016,2016-02-10,2016.11,2016-02,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,south-eastern asia,vietnam,vnm,16.5422416723933,106.354375350692,NA,NA,NA,NA,A,2016-06,3893,NA,NA,NA,NA,NA,2016-02-10,n3,n3,profileNA
H5N3.NA.EPI_ISL_240680.anseriformes.russia.NA.2014-09-11,H5N3,EPI_ISL_240680,A/mallard/Chany/126K/2014,2014-09-11,2014.69,2014-09,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,central asia,russia,rus,66.0376616061812,95.7970903417469,novosibirsk,ru.ns,55.2762232202593,79.7845914423443,A,2014-37,2696,NA,NA,NA,NA,NA,2014-09-11,n3,n3,profileNA
H5N3.NA.EPI_ISL_240673.anseriformes.russia.NA.2014-09-10,H5N3,EPI_ISL_240673,A/mallard/Chany/260U/2014,2014-09-10,2014.69,2014-09,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,central asia,russia,rus,66.0376616061812,95.7970903417469,novosibirsk,ru.ns,55.2762232202593,79.7845914423443,A,2014-37,2696,NA,NA,NA,NA,NA,2014-09-10,n3,n3,profileNA
H7N3.NA.EPI_ISL_328157.anseriformes.mongolia.NA.2017-09-01,H7N3,EPI_ISL_328157,A/Duck/Mongolia/652/2017,2017-09-01,2017.67,2017-09,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,A,2017-35,3801,NA,NA,NA,NA,NA,2017-09-01,n3,n3,profileNA
H7N3.NA.EPI_ISL_327474.anseriformes.mongolia.NA.2017-09-01,H7N3,EPI_ISL_327474,A/Duck/Mongolia/786/2017,2017-09-01,2017.67,2017-09,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,A,2017-35,3801,NA,NA,NA,NA,NA,2017-09-01,n3,n3,profileNA
H7N3.NA.EPI_ISL_327473.anseriformes.mongolia.NA.2017-09-01,H7N3,EPI_ISL_327473,A/Duck/Mongolia/782/2017,2017-09-01,2017.67,2017-09,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,A,2017-35,3801,NA,NA,NA,NA,NA,2017-09-01,n3,n3,profileNA
H7N3.NA.EPI_ISL_327464.anseriformes.mongolia.NA.2017-09-01,H7N3,EPI_ISL_327464,A/Duck/Mongolia/751/2017,2017-09-01,2017.67,2017-09,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,eastern asia,mongolia,mng,46.9660284560213,103.138307461425,NA,NA,NA,NA,A,2017-35,3801,NA,NA,NA,NA,NA,2017-09-01,n3,n3,profileNA
H2N3.NA.EPI_ISL_333089.anseriformes.bangladesh.NA.2017-01-23,H2N3,EPI_ISL_333089,A/duck/Bangladesh/18D775/2017,2017-01-23,2017.06,2017-01,anseriformes_wild,anseriformes,Anatidae,anatidae (duck sp.),duck sp.,bird,wild,southern asia,bangladesh,bgd,23.8299093538119,90.2865403636969,NA,NA,NA,NA,A,2017-04,3676,NA,NA,NA,NA,NA,2017-01-23,n3,n3,profileNA
NA.NA.EPI_ISL_328982.charadriiformes.netherlands.NA.2016-07-15,NA,EPI_ISL_328982,A/black-headed_gull/Netherlands/4/2016,2016-07-15,2016.54,2016-07,charadriiformes_wild,charadriiformes,Laridae,chroicocephalus ridibundus,black-headed gull,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,NA,NA,NA,NA,A,2016-28,3818,NA,NA,NA,NA,NA,2016-07-15,n3,n3,profileNA
H2N3.NA.EPI_ISL_267293.anseriformes.united_states.NA.2012-12-22,H2N3,EPI_ISL_267293,A/tufted_duck/Georgia/1/2012,2012-12-22,2012.97,2012-12,anseriformes_wild,anseriformes,Anatidae,aythya fuligula,tufted duck,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,georgia,us.ga,32.6403385373358,-83.4405725551842,A,2012-51,3413,NA,NA,NA,NA,NA,2012-12-22,n3,n3,profileNA
H2N3.NA.EPI_ISL_189729.anseriformes.united_states.NA.2012-12-22,H2N3,EPI_ISL_189729,A/tufted_duck/Republic_of_Georgia/1/2012,2012-12-22,2012.97,2012-12,anseriformes_wild,anseriformes,Anatidae,aythya fuligula,tufted duck,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,georgia,us.ga,32.6403385373358,-83.4405725551842,A,2012-51,3413,NA,NA,NA,NA,NA,2012-12-22,n3,n3,profileNA
H1N3.NA.EPI_ISL_339038.anseriformes.russia.NA.2018-09-06,H1N3,EPI_ISL_339038,A/mallard/Chany_Lake/18/2018,2018-09-06,2018.68,2018-09,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,central asia,russia,rus,66.0376616061812,95.7970903417469,novosibirsk,ru.ns,55.2762232202593,79.7845914423443,A,2018-36,2696,NA,NA,NA,NA,NA,2018-09-06,n3,n3,profileNA
H14N3.NA.EPI_ISL_400267.anseriformes.russia.NA.2019-09-07,H14N3,EPI_ISL_400267,A/Common_Teal/Chany_Lake/29/2019,2019-09-07,2019.68,2019-09,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,central asia,russia,rus,66.0376616061812,95.7970903417469,novosibirsk,ru.ns,55.2762232202593,79.7845914423443,A,2019-36,2696,NA,NA,NA,NA,NA,2019-09-07,n3,n3,profileNA
