Name,Trait
H10N1,#B33636BF
H10N2,#B33E36BF
H10N3,#B34636BF
H10N4,#B34F36BF
H10N5,#B35736BF
H10N6,#B36036BF
H10N7,#B36836BF
H10N8,#B37136BF
H10N9,#B37936BF
H11N1,#B38136BF
H11N2,#B38A36BF
H11N3,#B39236BF
H11N5,#B39B36BF
H11N6,#B3A336BF
H11N7,#B3AB36BF
H11N8,#B1B336BF
H11N9,#A9B336BF
H12N1,#A0B336BF
H12N2,#98B336BF
H12N3,#8FB336BF
H12N4,#87B336BF
H12N5,#7FB336BF
H12N6,#76B336BF
H12N8,#6EB336BF
H12N9,#65B336BF
H13N6,#5DB336BF
H13N8,#54B336BF
H14N3,#4CB336BF
H14N4,#44B336BF
H14N5,#3BB336BF
H14N6,#36B338BF
H14N7,#36B341BF
H14N9,#36B349BF
H15N5,#36B352BF
H1N1,#36B35ABF
H1N2,#36B362BF
H1N3,#36B36BBF
H1N4,#36B373BF
H1N6,#36B37CBF
H1N7,#36B384BF
H2N1,#36B38DBF
H2N2,#36B395BF
H2N3,#36B39DBF
H2N4,#36B3A6BF
H2N5,#36B3AEBF
H2N8,#36AEB3BF
H2N9,#36A6B3BF
H3N1,#369DB3BF
H3N2,#3695B3BF
H3N3,#368DB3BF
H3N5,#3684B3BF
H3N6,#367CB3BF
H3N7,#3673B3BF
H3N8,#366BB3BF
H4N1,#3662B3BF
H4N2,#365AB3BF
H4N3,#3652B3BF
H4N5,#3649B3BF
H4N6,#3641B3BF
H4N8,#3638B3BF
H5N1,#3B36B3BF
H5N2,#4436B3BF
H5N3,#4C36B3BF
H5N4,#5436B3BF
H5N5,#5D36B3BF
H5N6,#6536B3BF
H5N7,#6E36B3BF
H5N8,#7636B3BF
H5N9,#7F36B3BF
H6N1,#8736B3BF
H6N2,#8F36B3BF
H6N3,#9836B3BF
H6N5,#A036B3BF
H6N6,#A936B3BF
H6N8,#B136B3BF
H7N1,#B336ABBF
H7N2,#B336A3BF
H7N3,#B3369BBF
H7N4,#B33692BF
H7N5,#B3368ABF
H7N6,#B33681BF
H7N7,#B33679BF
H7N8,#B33671BF
H7N9,#B33668BF
H8N4,#B33660BF
H9N2,#B33657BF
H9N3,#B3364FBF
H9N5,#B33646BF
H9N9,#B3363EBF