cluster_profile,cluster_label,class
10_1_2_1_1_15_1_1,H5N2/2022/R1_Europe,minor
10_1_2_1_1_1_1_1,H5N1/2023/R21_Europe,moderate
10_6_2_1_11_1_1_1,H5N1/2024/R2_Europe,minor
10_6_2_1_1_15_1_1,H5N2/2022/R3_Europe,minor
10_6_2_1_1_1_1_1,H5N1/2023/R17_Europe,moderate
11_1_13_1_5_1_1_5,H5N1/2022/R59_Asia,minor
11_1_3_1_9_1_1_5,H5N1/2021/R11_Europe,minor
11_1_6_1_5_1_1_5,H5N1/2022/R65_Asia,minor
11_1_6_1_5_1_1_6,H5N1/2022/R50_Asia,minor
11_7_1_1_6_1_1_1,H5N1/2022/R51_Asia,minor
11_7_6_1_5_1_1_1,H5N1/2023/R11_Asia,minor
11_7_6_1_5_1_1_13,H5N1/2023/R35_Asia,minor
11_7_6_1_5_1_1_5,H5N1/2022/R69_Asia,minor
11_7_6_1_5_1_1_6,H5N1/2022/R32_Asia,moderate
11_7_7_1_5_1_1_12,H5N1/2022/R66_Asia,minor
11_9_2_1_13_1_1_1,H5N1/2023/R22_Asia,minor
11_9_6_2_5_18_1_2,H5N2/2020/R3_Asia,minor
12_1_5_2_3_3_1_2,H5N8/2020/R2_Asia,minor
13_1_2_1_1_1_1_1,H5N1/2022/R27_Europe,minor
13_1_4_1_18_1_1_4,H5N1/2023/R13_Europe,minor
13_1_4_1_4_1_1_4,H5N1/2023/R2_Europe,moderate
14_1_12_1_6_1_1_1,H5N1/2021/R18_Asia,minor
14_1_1_1_1_1_1_1,H5N1/2021/R2_Europe,moderate
14_1_1_1_9_1_1_1,H5N1/2021/R13_Europe,minor
14_1_3_1_14_24_1_2,H5N5/2021/R3_Europe,minor
14_1_3_1_1_1_1_1,H5N1/2022/R23_Europe,minor
14_2_11_2_3_17_1_15,H5N6/2019/R1_Africa,minor
14_2_2_2_3_17_1_2,H5N6/2019/R2_Europe,minor
14_6_1_1_1_1_1_5,H5N1/2021/R7_Europe,moderate
15_10_19_1_7_1_1_3,H5N1/2022/R3_NAmerica,minor
15_10_1_1_2_1_1_3,H5N1/2022/R31_NAmerica,minor
15_1_1_1_1_1_1_1,H5N1/2022/R30_NAmerica,minor
15_1_1_1_2_1_1_1,H5N1/2022/R47_NAmerica,minor
15_3_1_1_2_1_1_3,H5N1/2023/R5_NAmerica,minor
16_17_10_1_8_6_1_8,H5N6/2021/R4_Asia,minor
16_8_10_1_8_6_1_8,H5N6/2021/R1_Asia,moderate
17_1_1_1_1_1_1_1,H5N1/2022/R42_Africa,minor
17_1_6_1_5_2_1_10,H5N8/2021/R13_Asia,minor
18_1_2_1_1_18_1_1,H5N2/2022/R2_Asia,minor
18_1_2_1_1_1_1_1,H5N1/2023/R19_Europe,minor
18_6_2_1_14_1_1_1,H5N1/2023/R15_Europe,minor
18_9_2_1_1_1_1_1,H5N1/2023/R18_Europe,minor
19_8_11_1_8_6_1_9,H5N6/2022/R1_Asia,minor
19_8_11_1_8_9_1_9,H5N6/2021/R2_Asia,moderate
1_1_11_1_1_11_1_7,H5N4/2021/R1_Europe,minor
1_1_12_1_1_1_1_1,H5N1/2022/R36_Asia,minor
1_1_12_1_1_2_1_5,H5N8/2021/R7_Europe,minor
1_1_18_1_1_1_1_1,H5N1/2022/R1_Europe,minor
1_1_18_2_5_19_1_5,H5N2/2020/R1_Europe,minor
1_1_1_1_1_1_1_1,H5N1/2021/R3_Europe,major
1_1_1_1_5_1_1_5,H5N1/2022/R64_Asia,minor
1_1_2_1_10_1_1_5,H5N1/2021/R9_Europe,minor
1_1_2_1_10_8_1_1,H5N3/2021/R1_Europe,minor
1_1_2_1_11_1_1_1,H5N1/2022/R20_Europe,minor
1_1_2_1_1_11_1_7,H5N4/2021/R2_Europe,minor
1_1_2_1_1_1_1_1,H5N1/2021/R1_Europe,major
1_1_2_1_1_1_1_17,H5N1/2021/R17_Europe,minor
1_1_2_1_1_1_1_7,H5N1/2024/R1_Europe,minor
1_1_2_1_9_1_1_1,H5N1/2022/R21_Europe,minor
1_1_2_1_9_1_1_5,H5N1/2022/R22_Europe,minor
1_1_3_1_1_1_1_1,H5N1/2022/R18_Europe,minor
1_1_3_1_9_1_1_1,H5N1/2022/R8_Europe,minor
1_1_4_1_4_1_1_4,H5N1/2022/R12_Europe,major
1_1_6_1_10_27_1_2,H5N8/2021/R12_Europe,minor
1_1_6_1_1_1_1_1,H5N1/2022/R41_Asia,minor
1_1_6_1_9_1_1_1,H5N1/2023/R8_Europe,minor
1_1_7_1_1_1_1_5,H5N1/2022/R61_Asia,minor
1_1_7_1_5_1_1_1,H5N1/2023/R7_Asia,minor
1_1_7_1_5_1_1_5,H5N1/2022/R25_Asia,minor
1_1_7_2_3_3_1_2,H5N8/2020/R7_Asia,minor
1_1_7_2_3_3_1_5,H5N8/2020/R8_Asia,minor
1_2_15_2_1_13_1_2,H5N8/2019/R8_Europe,moderate
1_2_2_1_5_5_1_2,H5N5/2020/R3_Europe,minor
1_2_3_2_3_3_2_2,H5N8/2019/R6_Africa,minor
1_6_2_1_1_1_1_1,H5N1/2023/R16_Europe,moderate
1_6_2_1_1_1_1_10,H5N1/2023/R32_Europe,minor
1_6_6_1_5_1_1_1,H5N1/2022/R43_Asia,minor
1_6_6_1_5_1_1_5,H5N1/2022/R26_Asia,minor
1_7_1_1_9_1_1_1,H5N1/2022/R48_Asia,minor
1_7_6_1_5_1_1_6,H5N1/2022/R49_Asia,minor
1_9_5_2_3_3_1_2,H5N8/2020/R6_Asia,minor
20_1_7_1_5_1_1_1,H5N1/2022/R54_Asia,minor
20_7_6_1_3_1_1_1,H5N1/2022/R55_Asia,minor
20_7_7_1_9_7_1_1,H5N6/2023/R3_Asia,minor
20_9_13_1_5_1_1_1,H5N1/2022/R63_Asia,minor
21_16_16_1_8_10_1_9,H5N6/2021/R5_Asia,minor
21_6_16_1_8_10_1_9,H5N6/2021/R9_Asia,minor
22_2_3_1_3_2_1_2,H5N8/2022/R3_Africa,minor
23_13_23_2_15_21_3_14,H5N3/2019/R1_Asia,minor
24_1_1_1_1_1_1_1,H5N1/2021/R5_Europe,minor
26_18_24_1_17_10_1_16,H5N6/2021/R6_Asia,minor
27_1_1_1_1_1_1_1,H5N1/2022/R14_NAmerica,minor
28_3_1_1_2_1_1_3,H5N1/2023/R3_NAmerica,minor
2_1_12_1_1_1_1_1,H5N1/2023/R12_Asia,minor
2_1_17_1_1_1_1_1,H5N1/2021/R14_Africa,minor
2_1_18_1_1_1_1_1,H5N1/2022/R24_Europe,minor
2_1_1_1_10_1_1_1,H5N1/2021/R12_Europe,minor
2_1_1_1_1_16_1_2,H5N8/2020/R5_Europe,minor
2_1_1_1_1_1_1_1,H5N1/2020/R1_Europe,major
2_1_1_1_1_1_1_11,H5N1/2022/R39_NAmerica,moderate
2_1_1_1_1_1_5_1,H5N1/2021/R16_Europe,minor
2_1_1_1_1_28_6_1,H5N2/2021/R1_Africa,minor
2_1_1_1_1_30_1_1,H5N5/2024/R1_Asia,minor
2_1_1_1_1_4_1_1,H5N5/2021/R4_Europe,minor
2_1_1_1_2_1_1_1,H5N1/2022/R4_NAmerica,minor
2_1_1_1_5_1_1_18,H5N1/2022/R62_Asia,minor
2_1_1_1_6_1_1_1,H5N1/2022/R40_Asia,minor
2_1_1_1_9_1_1_1,H5N1/2022/R57_Europe,minor
2_1_2_1_1_1_1_1,H5N1/2021/R8_Europe,moderate
2_1_4_1_9_1_1_1,H5N1/2022/R17_Europe,minor
2_1_6_1_1_4_1_1,H5N5/2021/R5_Europe,moderate
2_1_6_1_5_1_1_1,H5N1/2021/R15_Asia,minor
2_4_1_1_1_1_1_1,H5N1/2022/R13_NAmerica,minor
2_6_1_1_1_1_1_1,H5N1/2021/R10_Asia,minor
2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,moderate
2_6_1_1_6_1_1_12,H5N1/2022/R67_Asia,minor
2_6_1_1_6_1_1_6,H5N1/2023/R9_Asia,minor
2_6_1_1_9_1_1_1,H5N1/2022/R52_Europe,minor
2_6_6_1_5_1_1_6,H5N1/2022/R53_Asia,minor
2_9_1_1_6_1_1_1,H5N1/2023/R20_Asia,minor
3_12_3_1_3_2_1_2,H5N8/2021/R10_Asia,minor
3_14_3_1_3_2_1_2,H5N8/2021/R8_Asia,minor
3_15_3_1_11_7_1_8,H5N6/2021/R3_Asia,minor
3_19_3_1_3_9_1_9,H5N6/2021/R10_Asia,minor
3_1_12_1_3_2_1_2,H5N8/2021/R6_Europe,minor
3_1_22_1_11_20_1_8,H5N6/2023/R2_Asia,minor
3_1_2_1_11_1_1_2,H5N1/2020/R2_Europe,minor
3_1_2_1_3_2_1_2,H5N8/2021/R1_Europe,minor
3_1_2_1_5_5_1_2,H5N5/2021/R1_Europe,minor
3_1_3_1_3_14_1_2,H5N1/2022/R9_Asia,minor
3_1_3_1_9_2_1_2,H5N8/2022/R2_Asia,minor
3_2_1_1_3_2_1_2,H5N8/2020/R9_Europe,minor
3_2_2_1_1_2_1_2,H5N8/2021/R5_Europe,minor
3_2_2_1_1_5_1_2,H5N5/2021/R2_Europe,minor
3_2_2_1_3_2_1_2,H5N8/2020/R1_Europe,minor
3_2_2_1_3_5_1_2,H5N5/2020/R1_Europe,minor
3_2_3_1_16_2_1_2,H5N8/2021/R9_Asia,minor
3_2_3_1_1_2_1_2,H5N8/2021/R2_Europe,minor
3_2_3_1_3_10_1_9,H5N6/2021/R11_Asia,minor
3_2_3_1_3_22_1_2,H5N5/2020/R4_Europe,minor
3_2_3_1_3_25_1_2,H5N3/2020/R1_Asia,minor
3_2_3_1_3_2_1_12,H5N8/2022/R1_Asia,minor
3_2_3_1_3_2_1_2,H5N8/2019/R7_Africa,major
3_2_3_1_3_2_1_9,H5N8/2021/R11_Asia,minor
3_2_3_1_3_2_2_2,H5N8/2020/R11_Africa,minor
3_2_3_1_3_2_4_2,H5N8/2019/R5_Africa,minor
3_2_3_1_3_5_1_2,H5N5/2020/R2_Europe,minor
3_2_3_1_3_7_1_2,H5N6/2021/R7_Asia,minor
3_2_3_2_3_3_1_2,H5N8/2020/R3_Europe,moderate
3_2_3_2_3_3_2_2,H5N8/2019/R2_Africa,minor
3_6_3_1_12_12_1_1,H5N2/2022/R4_Asia,minor
3_6_3_1_12_12_1_2,H5N2/2022/R5_Asia,minor
3_8_3_1_11_7_1_8,H5N6/2021/R8_Asia,moderate
3_9_6_1_5_23_1_2,H5N2/2020/R2_Europe,minor
4_10_1_1_2_1_1_3,H5N1/2022/R37_NAmerica,minor
4_11_1_1_2_1_1_3,H5N1/2023/R4_NAmerica,minor
4_11_1_1_7_26_1_1,H5N4/2022/R1_NAmerica,minor
4_1_1_1_2_1_1_1,H5N1/2022/R6_NAmerica,moderate
4_1_1_1_2_1_1_3,H5N1/2022/R44_NAmerica,minor
4_1_1_1_7_1_1_1,H5N1/2022/R35_NAmerica,minor
4_3_1_1_2_1_1_1,H5N1/2022/R11_NAmerica,moderate
4_3_1_1_2_1_1_3,H5N1/2022/R7_NAmerica,major
4_3_1_1_7_1_1_3,H5N1/2022/R33_NAmerica,minor
4_3_8_1_2_1_1_1,H5N1/2023/R23_NAmerica,minor
4_4_1_1_2_1_1_1,H5N1/2022/R34_NAmerica,minor
4_5_1_1_2_1_1_3,H5N1/2023/R29_NAmerica,moderate
4_5_1_1_7_1_1_3,H5N1/2023/R26_NAmerica,moderate
5_1_1_1_1_1_1_1,H5N1/2022/R45_NAmerica,minor
5_1_1_1_2_1_1_1,H5N1/2022/R2_NAmerica,moderate
5_1_1_1_2_1_1_3,H5N1/2022/R19_NAmerica,moderate
5_3_1_1_2_1_1_1,H5N1/2022/R28_NAmerica,minor
5_3_1_1_2_1_1_3,H5N1/2022/R38_NAmerica,minor
5_4_9_1_2_1_1_1,H5N1/2022/R29_NAmerica,moderate
5_4_9_1_2_29_1_1,H5N6/2023/R1_NAmerica,minor
5_5_1_1_2_1_1_3,H5N1/2023/R31_NAmerica,minor
5_5_9_1_2_1_1_1,H5N1/2023/R1_NAmerica,minor
6_1_1_1_2_1_1_1,H5N1/2022/R16_NAmerica,moderate
6_1_8_1_2_1_1_1,H5N1/2022/R46_NAmerica,minor
6_4_1_1_2_1_1_1,H5N1/2022/R10_NAmerica,moderate
6_4_20_1_2_1_1_1,H5N1/2022/R15_NAmerica,minor
6_4_8_1_2_1_1_1,H5N1/2022/R5_NAmerica,moderate
7_1_13_2_1_3_1_2,H5N8/2020/R17_Asia,minor
7_1_21_2_1_3_1_2,H5N8/2020/R12_Asia,minor
7_1_5_2_1_3_1_1,H5N8/2021/R3_Asia,minor
7_1_5_2_1_3_1_2,H5N8/2019/R3_Europe,moderate
7_1_5_2_3_3_1_2,H5N8/2020/R4_Asia,minor
7_2_5_2_13_3_1_2,H5N8/2019/R4_Africa,minor
7_2_5_2_9_3_1_2,H5N8/2019/R1_Africa,minor
7_6_13_2_1_3_1_2,H5N8/2020/R13_Asia,minor
7_6_13_2_3_3_1_2,H5N8/2020/R14_Asia,minor
7_6_5_2_1_3_1_2,H5N8/2020/R15_Asia,minor
7_9_5_2_1_3_1_2,H5N8/2020/R16_Asia,minor
8_10_1_1_2_1_1_3,H5N1/2023/R28_NAmerica,minor
8_5_1_1_1_1_1_3,H5N1/2023/R24_NAmerica,minor
8_5_1_1_2_1_1_3,H5N1/2023/R6_NAmerica,moderate
8_5_1_1_7_1_1_3,H5N1/2023/R25_NAmerica,minor
9_1_1_1_1_1_1_1,H5N1/2023/R34_Asia,minor
9_1_1_1_5_1_1_5,H5N1/2022/R68_Asia,minor
9_1_6_1_5_1_1_1,H5N1/2023/R33_Asia,minor
9_1_7_1_5_1_1_1,H5N1/2022/R58_Asia,minor
9_1_7_1_5_1_1_5,H5N1/2022/R60_Asia,minor
9_9_13_1_5_1_1_5,H5N1/2022/R56_Asia,minor
